input_text,target_text
The technician wants to log in and update profile.,"Actor: technician
UseCase: log in
UseCase: update profile
Rel: technician -> log in
Rel: technician -> update profile"
The nurse wants to take quiz and view result.,"Actor: nurse
UseCase: take quiz
UseCase: view result
Rel: nurse -> take quiz
Rel: nurse -> view result"
The receptionist wants to verify documents and approve registration.,"Actor: receptionist
UseCase: verify documents
UseCase: approve registration
Rel: receptionist -> verify documents
Rel: receptionist -> approve registration"
The technician wants to create account and assign roles.,"Actor: technician
UseCase: create account
UseCase: assign roles
Rel: technician -> create account
Rel: technician -> assign roles"
The officer wants to reset password and change email.,"Actor: officer
UseCase: reset password
UseCase: change email
Rel: officer -> reset password
Rel: officer -> change email"
The agent wants to request leave and view salary slip.,"Actor: agent
UseCase: request leave
UseCase: view salary slip
Rel: agent -> request leave
Rel: agent -> view salary slip"
The librarian wants to take quiz and view result.,"Actor: librarian
UseCase: take quiz
UseCase: view result
Rel: librarian -> take quiz
Rel: librarian -> view result"
The engineer wants to file complaint and review case.,"Actor: engineer
UseCase: file complaint
UseCase: review case
Rel: engineer -> file complaint
Rel: engineer -> review case"
The receptionist wants to submit assignment and check grades.,"Actor: receptionist
UseCase: submit assignment
UseCase: check grades
Rel: receptionist -> submit assignment
Rel: receptionist -> check grades"
The teacher wants to file complaint and review case.,"Actor: teacher
UseCase: file complaint
UseCase: review case
Rel: teacher -> file complaint
Rel: teacher -> review case"
The customer wants to monitor system and report issue.,"Actor: customer
UseCase: monitor system
UseCase: report issue
Rel: customer -> monitor system
Rel: customer -> report issue"
The receptionist wants to prescribe medicine and review test results.,"Actor: receptionist
UseCase: prescribe medicine
UseCase: review test results
Rel: receptionist -> prescribe medicine
Rel: receptionist -> review test results"
The librarian wants to take quiz and view result.,"Actor: librarian
UseCase: take quiz
UseCase: view result
Rel: librarian -> take quiz
Rel: librarian -> view result"
The nurse wants to enroll in course and drop course.,"Actor: nurse
UseCase: enroll in course
UseCase: drop course
Rel: nurse -> enroll in course
Rel: nurse -> drop course"
The moderator wants to approve request and generate report.,"Actor: moderator
UseCase: approve request
UseCase: generate report
Rel: moderator -> approve request
Rel: moderator -> generate report"
The nurse wants to submit assignment and check grades.,"Actor: nurse
UseCase: submit assignment
UseCase: check grades
Rel: nurse -> submit assignment
Rel: nurse -> check grades"
The student wants to setup profile and join session.,"Actor: student
UseCase: setup profile
UseCase: join session
Rel: student -> setup profile
Rel: student -> join session"
The analyst wants to request leave and view salary slip.,"Actor: analyst
UseCase: request leave
UseCase: view salary slip
Rel: analyst -> request leave
Rel: analyst -> view salary slip"
The customer wants to schedule interview and reschedule appointment.,"Actor: customer
UseCase: schedule interview
UseCase: reschedule appointment
Rel: customer -> schedule interview
Rel: customer -> reschedule appointment"
The analyst wants to prescribe medicine and review test results.,"Actor: analyst
UseCase: prescribe medicine
UseCase: review test results
Rel: analyst -> prescribe medicine
Rel: analyst -> review test results"
The user wants to issue book and collect returned books.,"Actor: user
UseCase: issue book
UseCase: collect returned books
Rel: user -> issue book
Rel: user -> collect returned books"
The nurse wants to fill out form and submit application.,"Actor: nurse
UseCase: fill out form
UseCase: submit application
Rel: nurse -> fill out form
Rel: nurse -> submit application"
The supervisor wants to file complaint and review case.,"Actor: supervisor
UseCase: file complaint
UseCase: review case
Rel: supervisor -> file complaint
Rel: supervisor -> review case"
The manager wants to record attendance and send report.,"Actor: manager
UseCase: record attendance
UseCase: send report
Rel: manager -> record attendance
Rel: manager -> send report"
The volunteer wants to approve request and generate report.,"Actor: volunteer
UseCase: approve request
UseCase: generate report
Rel: volunteer -> approve request
Rel: volunteer -> generate report"
The engineer wants to flag content and escalate issue.,"Actor: engineer
UseCase: flag content
UseCase: escalate issue
Rel: engineer -> flag content
Rel: engineer -> escalate issue"
The nurse wants to start task and complete task.,"Actor: nurse
UseCase: start task
UseCase: complete task
Rel: nurse -> start task
Rel: nurse -> complete task"
The analyst wants to setup profile and join session.,"Actor: analyst
UseCase: setup profile
UseCase: join session
Rel: analyst -> setup profile
Rel: analyst -> join session"
The nurse wants to analyze data and export results.,"Actor: nurse
UseCase: analyze data
UseCase: export results
Rel: nurse -> analyze data
Rel: nurse -> export results"
The volunteer wants to start task and complete task.,"Actor: volunteer
UseCase: start task
UseCase: complete task
Rel: volunteer -> start task
Rel: volunteer -> complete task"
The user wants to enroll in course and drop course.,"Actor: user
UseCase: enroll in course
UseCase: drop course
Rel: user -> enroll in course
Rel: user -> drop course"
The engineer wants to record attendance and send report.,"Actor: engineer
UseCase: record attendance
UseCase: send report
Rel: engineer -> record attendance
Rel: engineer -> send report"
The technician wants to setup profile and join session.,"Actor: technician
UseCase: setup profile
UseCase: join session
Rel: technician -> setup profile
Rel: technician -> join session"
The moderator wants to request leave and view salary slip.,"Actor: moderator
UseCase: request leave
UseCase: view salary slip
Rel: moderator -> request leave
Rel: moderator -> view salary slip"
The manager wants to upload file and download resource.,"Actor: manager
UseCase: upload file
UseCase: download resource
Rel: manager -> upload file
Rel: manager -> download resource"
The user wants to prescribe medicine and review test results.,"Actor: user
UseCase: prescribe medicine
UseCase: review test results
Rel: user -> prescribe medicine
Rel: user -> review test results"
The developer wants to request leave and view salary slip.,"Actor: developer
UseCase: request leave
UseCase: view salary slip
Rel: developer -> request leave
Rel: developer -> view salary slip"
The admin wants to log in and update profile.,"Actor: admin
UseCase: log in
UseCase: update profile
Rel: admin -> log in
Rel: admin -> update profile"
